Class,mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-0,NRC-10-1,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-0,NRC-10-Expanded-1,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
0,0,0,0,0,0,-2,3.733,-4.249,3.889,-2.712,1,0,1,0,0,0,0,0,1,0,0.858947,0.783382,0.657985,0.655616,0.817718,0.410349,0.443891,1.18851,3.411951,2.497551,0.582429,0.529935,0.166241,0.022794,0.828112,2.279762,1.405913,0.391732,0.084524,-0.271635,0,0,0
0,1,3,0,3,0,-5,1.504,-7.18,2.016,-5.688,1,1,0,0,0,2,0,1,2,0,0.843583,0.782184,0.920091,0.792659,0.579598,0.381136,0.461809,0.847704,3.855545,1.963777,1.929473,0.5852,0.58936,0.552142,0.193005,2.113193,1.022432,0.09642,0.333333,-2.050298,0,0,1
0,0,0,0,0,2,0,1.151,-1.785,1.368,-3.886,0,0,0,0,1,0,0,1,0,2,0.624555,0.589218,0.61328,0.625396,0.356039,0.256914,0.250357,0.615568,2.511414,1.615571,0.624425,0.794607,0.077445,0.303881,0.291091,0,1.133338,0,0.538473,-0.875947,0,0,0
0,1,0,1,1,2,-4,0.138,-4.207,3.027,-0.475,0,0,0,1,0,0,0,0,0,0,0.793985,0.239367,1.075261,0.718693,0.126032,0.523286,0.136056,0.193225,2.661758,0.404833,1.301815,0,0.410065,0.314308,0.656165,0.246043,0.290469,0,1.241667,-0.596032,0,0,0
0,0,1,0,1,0,-4,3.815,-6.921,0.59,-5.989,1,0,1,1,0,1,0,0,1,0,2.041335,0.945437,1.29253,1.453395,0.763746,1.080105,0.677876,0.930982,6.465305,2.075974,2.011091,0.351298,1.713305,0.245391,0,0.161425,0.05096,0.166457,1.023958,-1.00625,0,0,3
0,0,0,0,0,0,0,0.379,-1.012,0.409,-0.628,0,0,0,0,0,0,0,1,0,0,0.300038,0.060293,0.377792,0.332661,0.035246,0.245792,0.057664,0.043894,1.263653,0.141247,0.120013,0.30464,0,0.019116,0.088842,0,0.176257,0,0.43125,-0.3125,0,0,1
0,1,0,1,0,2,0,0.136,-0.739,0.261,-0.6,0,0,0,0,1,0,0,1,0,1,0.114423,0.152493,0.100138,0.067308,0.053105,0.048642,0.044697,0.075361,0.60592,0.191679,0.18977,0,0,0.138215,0.233424,1.15476,0,0,0.291667,-0.1375,0,0,0
0,1,2,1,0,8,-1,8.54,-2.331,5.437,-2.35,0,2,0,0,0,0,0,0,0,0,0.99991,1.252904,1.085029,0.755068,1.828179,0.527538,0.829765,1.848917,4.409262,3.74934,0.20798,0.648569,0.160628,0.102067,1.013842,1.378502,0.488749,0.235503,1.177232,-0.740972,0,0,1
0,0,0,0,0,0,0,0,-2.872,0,-1.633,0,0,0,0,0,0,0,0,0,0,0.237609,0.195724,0.203849,0.174378,0.101384,0.159187,0.220566,0.173725,1.300842,0.279732,0.39433,0,0.312959,0,0,0.074651,0,0,0.058469,0,0,0,1
0,0,0,0,0,0,0,0.197,-0.267,0.349,-0.978,0,0,0,0,0,0,0,0,0,0,0.209828,0.089883,0.245257,0.222737,0.035695,0.123645,0.070146,0.128022,1.143805,0.13633,0.341632,0,0.054813,0,0.395216,0.1962,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0.281,-1.673,2.624,-0.383,0,0,0,0,0,0,1,0,0,0,0.23007,0.28516,0.110201,0.155902,0.091686,0.128326,0.06525,0.130858,0.650711,0.343823,0.343041,0.790717,0.57426,0.817284,0.84587,0.020642,0.017465,0,0,-0.055513,0,0,0
0,1,0,0,0,0,0,0.032,-1.175,0.363,-0.473,0,0,0,0,0,0,0,0,0,0,0.184447,0.092658,0.163558,0.175001,0.091405,0.115514,0.109314,0.093196,1.045274,0.231263,0.392417,0,0.166374,0,0.125697,0,0,0,0.915774,-0.125,0,0,0
0,0,2,0,2,0,-5,0.252,-5.043,1.477,-4.098,2,2,0,3,0,1,0,0,2,0,0.628523,0.416189,0.701682,0.646525,0.254246,0.359295,0.231091,0.450552,3.284175,1.154015,0.152459,0.22227,0.88534,0.040392,0,1.585537,0.950572,0.068089,0.234375,-1.228914,0,0,1
0,0,0,0,0,0,0,1.625,-5.218,0.301,-6.758,0,0,0,0,0,0,0,0,0,1,1.034819,0.530326,1.031122,1.044401,0.399972,1.227818,0.443395,0.725538,5.348261,1.406036,1.027737,0,0.928516,0.627962,0.028218,0.78219,0.932123,0.171158,0,-0.5625,0,0,1
0,1,0,0,0,0,-1,2.274,-5.233,2.55,-2.854,1,0,0,1,0,0,0,0,1,0,0.955181,0.690788,0.943607,0.90267,0.496468,0.672699,0.52536,0.64115,4.981259,1.68986,0.392475,0.26713,0.479999,0.170287,0.404695,0.124179,1.165991,0,1.692993,-0.645833,0,0,2
0,1,1,0,1,1,-2,2.415,-5.041,2.501,-3.102,0,1,0,1,0,0,0,0,0,0,0.828896,0.980005,0.774245,0.827269,0.8228,0.462644,0.634154,1.006691,3.355527,2.434145,0.338844,2.093644,0.283099,0,0.223569,1.932291,0.656571,0.332915,0.382292,-0.662698,0,0,0
0,2,4,0,2,0,-7,2.664,-6.441,1.802,-5.262,2,2,1,3,0,2,1,0,3,0,0.732831,0.58484,0.580481,0.69741,0.223001,0.449105,0.223327,0.623425,2.973704,1.18947,1.042771,0.760275,0.666836,0.254451,0.061866,1.074991,1.207294,0.934851,0.625722,-3.692316,0,0,1
0,0,0,0,0,0,0,0,-1.649,0,-2.416,0,0,0,0,0,0,0,0,0,0,0.125411,0.118179,0.070988,0.107233,0.044994,0.080771,0.023368,0.197831,0.74793,0.371739,0.446431,1.007891,0.333875,0,0,0,0.018915,0,0.125,0,0,0,0
0,1,0,1,0,3,0,3.042,-1.611,3.639,-1.261,0,0,0,0,1,0,0,0,0,1,0.485864,0.722233,0.330168,0.410945,0.630948,0.187858,0.466757,0.557214,1.450298,1.66635,0.776341,0.860981,0,0.715996,1.496682,0.712228,1.152778,0.538815,1.832292,-0.041667,0,0,0
0,1,0,0,0,2,-1,2.012,-1.038,2.086,-2.151,0,0,0,1,0,1,0,0,2,1,0.505433,0.405883,0.488169,0.491864,0.480605,0.189923,0.254008,0.41952,1.883865,1.051471,0.212724,0.055324,1.349821,0.878802,0.059222,0.445948,0.318071,0.277152,0.933333,-0.83428,0,0,0
0,0,0,0,0,0,0,0.801,-2.176,1.336,-0.815,0,0,0,0,0,0,0,0,0,0,0.48301,0.469103,0.424149,0.395036,0.362744,0.199974,0.248287,0.462024,1.812675,1.185744,0.184264,0,0.078398,0.1953,0.619082,0.148301,1.04979,0,0.383613,-0.83428,0,0,1
0,1,0,0,0,1,-3,1.925,-4.751,3.375,-2.95,0,1,0,0,1,0,0,1,0,1,1.194984,0.565979,0.922368,0.948941,0.393986,0.548394,0.358972,0.840277,4.275969,1.505851,0.19126,1.036591,0.780118,0.814176,0.600724,1.881085,0.706063,0.165612,1.14256,-0.385417,0,0,1
0,0,0,0,0,0,0,1.792,-1.367,2.408,-1.174,0,0,0,0,0,0,0,0,0,0,0.29027,0.272539,0.347283,0.313687,0.303977,0.231645,0.183897,0.412049,1.915391,1.051137,0.098167,0.56861,0.09523,0,0.120591,0.117649,0.411986,0.166457,0,-0.447917,0,0,0
0,0,0,0,0,0,0,0.172,-2.834,0.647,-1.345,0,0,0,0,0,0,0,0,0,0,0.434213,0.504234,0.310045,0.433789,0.175858,0.416249,0.209471,0.26255,1.800536,0.596942,0.120013,0.166705,0.030925,0.618032,0.194949,0.515834,0.209153,0,0,-0.833333,0,0,1
0,0,0,0,0,0,0,0,-2.665,1.268,0,0,1,0,0,0,0,0,0,0,0,0.041895,0.107117,0.01304,0.067866,0.063169,0.035842,0.03195,0.074599,0.127951,0.17107,0,0.178913,0,0.760418,0.34387,0,0.548898,0,0.090278,-0.041667,0,0,0
0,0,1,0,1,0,-3,0.034,-3.84,1.112,-3.995,1,0,1,1,0,1,0,0,1,0,0.333598,0.343481,0.193536,0.357811,0.175522,0.203263,0.280787,0.288709,1.503929,0.767201,2.047599,0,0.943504,0.195199,0,0,0,0,0.715711,-0.75,0,0,0
0,1,1,0,1,0,-1,0.638,-3.732,2.982,-1.389,0,0,0,0,0,1,0,0,1,0,0.492122,0.623904,0.306606,0.572455,0.451911,0.268361,0.275848,0.56582,2.168898,1.366224,0.424078,0.434775,0.063536,0.639698,0.583346,1.261965,0.878196,0,0.915774,-0.75625,0,0,0
0,0,2,0,2,0,-4,0.182,-4.993,0.872,-2.251,0,0,0,0,0,0,0,0,0,0,0.624626,0.184697,0.412381,0.486543,0.174747,1.040338,0.147387,0.178152,1.581302,0.377255,0.636934,0,0.031812,0.678988,0,2.915044,0.058136,0,0.020833,-0.933532,0,0,0
0,0,1,0,1,3,-3,2.171,-5.252,3.521,-3.279,1,0,1,1,0,1,0,0,1,0,0.948717,0.874526,1.053992,0.825666,0.712285,0.373727,0.610294,0.684706,4.544421,1.852893,1.420655,1.090019,0.118071,0.750343,0,0,0.374228,0.133754,0.382423,-0.163301,0,0,2
0,1,1,1,1,0,-2,1.722,-4.219,2.254,-2.215,1,3,0,1,1,1,0,1,1,1,0.683183,0.454044,0.721283,0.570915,0.300888,0.377119,0.283482,0.318016,2.99011,0.661595,0.551505,0.385597,0.490651,0.752466,0.671576,2.553619,0.410462,1.902049,0.347917,-0.762311,0,0,0
0,0,0,0,0,0,-1,0.879,-2.923,1.864,-2.482,0,0,0,0,0,0,0,1,0,0,0.705969,0.46911,0.413538,0.553877,0.282667,0.504459,0.313877,0.438936,2.918842,1.226854,1.813468,0.480973,0.108032,0,1.518438,0.965478,0.114211,0.491903,0.888864,-0.166667,0,0,0
0,2,0,0,0,2,-1,2.874,-4.785,5.088,-3.082,0,0,0,0,0,0,0,0,0,1,1.346488,1.431034,0.94854,1.177488,0.533666,0.786162,0.412456,0.917088,4.86277,2.680851,0.478262,0.77417,0.662373,0.861766,0.805295,0.50125,0.233889,0.524103,0.530834,-1.037202,0,0,1
0,0,0,1,0,0,0,1.599,-5.279,5.981,-2.766,0,2,0,0,0,0,0,0,0,1,1.028664,0.734328,1.129434,1.101677,0.505737,0.606233,0.373769,0.786969,3.965871,1.926191,0.421358,0.178913,0.108967,1.256927,1.808071,0.392321,1.374234,0.427043,0.09571,-0.645833,0,0,1
0,2,2,2,1,3,-2,2.571,-3.431,1.843,-2.175,0,0,0,0,1,0,0,0,0,1,0.391009,0.578994,0.23017,0.290425,0.599183,0.231349,0.20424,0.651404,1.546091,1.579631,0.147774,0,0.177592,0.182066,0.745624,1.817659,0.774646,1.19176,1.5375,-0.766865,0,0,0
0,4,3,2,2,2,-4,1.94,-9.804,4.5,-4.127,0,0,3,0,0,2,0,0,3,0,1.276561,0.80826,1.239281,1.429496,0.531045,0.62878,0.412928,1.109514,4.341608,2.237476,0.977387,0,4.609621,0.092279,1.266594,0.289875,2.274878,0.133754,1.583333,-2.252564,0,0,0
0,0,1,0,1,0,-1,0.425,-3.758,2.238,-1.003,0,0,0,0,0,1,0,0,1,0,0.21951,0.24457,0.176315,0.274458,0.142105,0.163289,0.085531,0.241888,1.215597,0.627267,0.362213,0.465521,0,0.392823,0.348808,1.136329,0.915226,0,0.125,-0.610417,0,0,0
0,2,2,2,0,5,-4,3.495,-2.558,3.27,-3.013,2,1,2,2,1,2,1,1,2,1,1.105111,0.937263,1.044115,1.052915,0.612,0.567458,0.602677,0.838822,3.660735,1.830526,0.485339,0.542636,0.245626,0.368264,1.843051,0.148301,0.995312,0.28518,3.545065,-4.020238,0,0,1
0,0,1,0,1,0,-1,2.208,-1.512,2.323,-2.358,0,1,0,0,0,0,0,0,0,0,0.374909,0.330887,0.160266,0.250106,0.310112,0.485521,0.133514,0.297734,1.084954,0.595492,0.270491,0,0.2549,0.125311,0.360578,0.364046,0.494423,0,0.345833,-0.645833,0,0,0
